"drive_id","drive_start","drive_end"
"2020_11_ATL_NO_19","Fumble","Turnover"
"2018_01_WAS_ARI_18","Fumble","Turnover"
"2018_17_NYJ_NE_9","Fumble","Turnover"
"2019_10_BUF_CLE_3","Fumble","Turnover"
"2021_16_DET_ATL_15","Fumble","Turnover"
"2020_05_CIN_BAL_8","Fumble","Turnover"
"2021_12_CLE_BAL_12","Fumble","Turnover"
"2017_12_CHI_PHI_22","Fumble","Turnover"
"2019_04_KC_DET_13","Fumble","Turnover"
"2019_11_HOU_BAL_4","Fumble","Turnover"
"2018_14_JAX_TEN_19","Fumble","Turnover"
"2017_06_LAC_OAK_15","Fumble","Turnover"
"2018_16_HOU_PHI_19","Fumble","Turnover"
"2019_03_PIT_SF_24","Fumble","Turnover"
"2019_08_TB_TEN_24","Fumble","Turnover"
"2017_17_DAL_PHI_2","Fumble","Turnover"
"2020_16_CAR_WAS_3","Fumble","Turnover"
"2021_12_CLE_BAL_9","Interception","Field Goal"
"2016_17_NE_MIA_5","Interception","Field Goal"
"2019_17_IND_JAX_9","Interception","Field Goal"
"2018_06_LAC_CLE_24","Interception","Field Goal"
"2019_04_NE_BUF_19","Interception","Field Goal"
"2019_16_JAX_ATL_17","Interception","Field Goal"
"2018_02_IND_WAS_6","Interception","Field Goal"
"2020_11_TEN_BAL_14","Interception","Field Goal"
"2019_12_DET_WAS_25","Interception","Field Goal"
"2021_14_PIT_MIN_16","Interception","Field Goal"
"2019_15_MIA_NYG_14","Interception","Field Goal"
"2021_06_ARI_CLE_8","Interception","Field Goal"
"2016_12_TEN_CHI_14","Interception","Field Goal"
"2016_05_SD_OAK_11","Interception","Field Goal"
"2020_02_SF_NYJ_13","Interception","Field Goal"
"2017_04_SF_ARI_9","Interception","Field Goal"
"2021_01_NYJ_CAR_8","Interception","Field Goal"
"2021_09_BUF_JAX_11","Interception","Field Goal"
"2020_05_LA_WAS_11","Interception","Field Goal"
"2016_15_JAX_HOU_8","Interception","Field Goal"
"2017_08_OAK_BUF_14","Interception","Field Goal"
"2020_06_DEN_NE_19","Interception","Field Goal"
"2016_10_DEN_NO_6","Interception","Field Goal"
"2019_09_DAL_NYG_11","Interception","Field Goal"
"2017_06_GB_MIN_19","Interception","Field Goal"
"2016_09_CAR_LA_18","Interception","Field Goal"
"2020_06_DEN_NE_3","Interception","Field Goal"
"2018_01_SEA_DEN_22","Interception","Field Goal"
"2019_03_CHI_WAS_13","Interception","Field Goal"
"2016_17_HOU_TEN_9","Interception","Field Goal"
"2016_12_GB_PHI_9","Interception","Field Goal"
"2016_04_NO_SD_20","Interception","Field Goal"
"2020_05_IND_CLE_18","Interception","Field Goal"
"2019_02_SF_CIN_7","Interception","Field Goal"
"2021_05_LA_SEA_23","Interception","Field Goal"
"2016_05_TB_CAR_20","Interception","Field Goal"
"2019_10_MIA_IND_3","Interception","Field Goal"
"2019_17_WAS_DAL_3","Interception","Field Goal"
"2020_17_WAS_PHI_4","Interception","Field Goal"
"2021_05_NYG_DAL_16","Interception","Field Goal"
"2019_17_NYJ_BUF_21","Interception","Field Goal"
"2017_14_NE_MIA_3","Interception","Field Goal"
"2019_15_TB_DET_15","Interception","Field Goal"
"2019_06_DET_GB_18","Interception","Field Goal"
"2020_06_CIN_IND_19","Interception","Field Goal"
"2020_13_DAL_BAL_3","Interception","Field Goal"
"2019_02_LAC_DET_17","Interception","Field Goal"
"2017_09_LA_NYG_12","Interception","Field Goal"
"2017_05_JAX_PIT_10","Interception","Field Goal"
"2019_03_CAR_ARI_21","Interception","Field Goal"
"2020_12_NO_DEN_18","Interception","Field Goal"
"2019_15_BUF_PIT_17","Interception","Field Goal"
"2020_02_LA_PHI_14","Interception","Field Goal"
"2016_08_PHI_DAL_10","Interception","Field Goal"
"2020_03_CIN_PHI_17","Interception","Field Goal"
"2017_17_SF_LA_6","Interception","Field Goal"
"2016_02_SF_CAR_30","Interception","Field Goal"
"2019_15_CLE_ARI_8","Interception","Field Goal"
"2021_02_LV_PIT_4","Interception","Field Goal"
"2021_12_TEN_NE_18","Interception","Field Goal"
"2016_07_SD_ATL_4","Interception","Field Goal"
"2020_10_JAX_GB_20","Interception","Field Goal"
"2016_02_CIN_PIT_16","Interception","Field Goal"
"2018_17_MIA_BUF_5","Interception","Field Goal"
"2017_11_BUF_LAC_3","Interception","Field Goal"
"2020_01_MIA_NE_10","Interception","Field Goal"
"2017_03_TB_MIN_19","Interception","Field Goal"
"2021_09_NE_CAR_10","Interception","Field Goal"
"2020_04_IND_CHI_20","Interception","Field Goal"
"2019_08_LAC_CHI_6","Interception","Field Goal"
"2016_16_ATL_CAR_3","Interception","Field Goal"
"2021_15_HOU_JAX_16","Interception","Field Goal"
"2018_11_MIN_CHI_14","Interception","Field Goal"
"2021_11_DAL_KC_16","Interception","Field Goal"
"2016_14_HOU_IND_14","Interception","Field Goal"
"2020_04_DEN_NYJ_7","Interception","Field Goal"
"2016_06_DAL_GB_17","Interception","Field Goal"
"2021_06_MIN_CAR_2","Interception","Field Goal"
